match_id,side,team,role,number,player,captain,coach
3839463,home,Junge Wikinger Ried,starter,01,Felix Rudolf Wimmer,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,04,Lejs Nezic,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,05,Loiange Delphin Ondoa Belinga,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,06,Jonas Karl Ablinger,True,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,08,Bence Balabás,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,10,Nico Forobosko,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,12,Conrad Scholl,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,14,Philip Weissenbacher,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,16,Nevio Zotz,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,17,Joris Boguo,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,starter,18,Fabio Arencibia Santana,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,bench,21,Benaja Marlon Frey,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,bench,03,Benjamin Kiesl,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,bench,19,Oliver Koplarovics,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,bench,22,Elias Krain,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,bench,27,Sefiwu Abubakar,False,Marcel Thallinger
3839463,home,Junge Wikinger Ried,bench,36,Alex-Jason Osamagumwende Amadin,False,Marcel Thallinger
3839463,away,SPG LASK Amateure OÖ Amat.,starter,01,Carlo Jurak,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,03,Cheikne Kebe,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,07,Filip Perovic,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,08,Gabriel Zirngast,True,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,11,Tarik Brkic,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,16,Vincent Jonah Augustus,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,17,Armin Midzic,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,20,Tryphose Aime Queyre Tchicamboud,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,21,Alpha Kassaynabo Balde,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,30,Armin Haider,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,starter,42,Nael Mamadou Lamine Kane,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,bench,31,Moritz Schrenk,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,bench,02,Kaden Bauer De Jarnette,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,bench,19,Serigne Fall,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,bench,37,Wesley Danso Agyekum Frimpong,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,bench,47,Jakob Wanker,False,"Andreas Wieland , MA"
3839463,away,SPG LASK Amateure OÖ Amat.,bench,95,Sölvi Snaer Asgeirsson,False,"Andreas Wieland , MA"
3839515,home,ASKÖ Oedt,starter,01,Filip Dmitrovic,False,Johann Kleer
